CURRENT_LAND_VALUE,prediction
1901000.0,1653752.6936735963
648000.0,728207.283107966
484000.0,728207.283107966
2783000.0,2287735.077636187
840000.0,941823.6330935899
2462000.0,1939410.6447782167
1667000.0,1562764.8243121447
477000.0,728207.283107966
837000.0,728207.283107966
950000.0,728207.283107966
535000.0,728207.283107966
698000.0,759330.6500136157
735000.0,805976.6048258871
1564000.0,1562115.9237561072
819000.0,744884.5595114281
579000.0,759330.6500136157
751000.0,759330.6500136157
2153000.0,2298074.6688312558
2477000.0,1562764.8243121447
2483000.0,2202243.710838715
1318000.0,1844973.711090948
1492000.0,807443.20233335
3056000.0,2886175.592177327
2737000.0,3048779.551558336
2276000.0,3311233.2020066506
1803000.0,1653752.6936735963
3070000.0,2910299.387427462
575000.0,2272500.553504144
2830000.0,2331576.0555532174
636000.0,759330.6500136157
582246.0,759330.6500136157
394000.0,728207.283107966
448000.0,728207.283107966
547000.0,759330.6500136157
456000.0,759330.6500136157
433000.0,728207.283107966
453000.0,759330.6500136157
2187000.0,1934171.2631155923
1280000.0,821024.3870691455
1657000.0,947421.388421787
575000.0,744884.5595114281
462000.0,728207.283107966
408000.0,728207.283107966
570000.0,759330.6500136157
1111000.0,1516527.8256795346
2470000.0,1653752.6936735963
3498000.0,2953252.417777829
1621000.0,1517176.7262355718
393000.0,728207.283107966
456000.0,728207.283107966
1388000.0,1517176.7262355718
3518000.0,3219600.70147686
761000.0,645720.9760459507
408000.0,776007.9264170779
863000.0,744884.5595114281
411000.0,759330.6500136157
1012000.0,759330.6500136157
821000.0,805976.6048258871
345000.0,728207.283107966
498000.0,728207.283107966
550000.0,759330.6500136157
402000.0,728207.283107966
737000.0,759330.6500136157
1761000.0,1562115.9237561072
1825000.0,1562115.9237561072
3518000.0,759330.6500136157
2902000.0,1665581.0018048477
1577000.0,1651740.1199495394
993000.0,1770707.2824237116
2450000.0,2162855.361498903
1574000.0,1615214.0896559109
3241000.0,2476422.5916951485
1588000.0,2086428.4102356904
692000.0,941823.6330935899
1584000.0,1535521.1226583635
1197000.0,1516527.8256795346
1473000.0,834812.6607657848
1305000.0,1776789.7256267122
1472000.0,1608164.5955970236
775000.0,744884.5595114281
578000.0,744884.5595114281
1875000.0,2159210.0765031492
3110000.0,2563810.0389137706
1641000.0,1562764.8243121447
1509000.0,1608164.5955970236
3159000.0,2827327.5943757268
1610000.0,2025836.7009520337
3518000.0,3183421.1245814217
2002000.0,1765977.2475162675
1641000.0,837099.9717315368
1769000.0,2053800.9820221923
3518000.0,2282081.240335635
3261000.0,1528027.0527293792
3518000.0,2790931.5517609613
3518000.0,2790931.5517609613
893000.0,807603.9983461133
1242000.0,805976.6048258871
1166000.0,1516527.8256795346
415000.0,635964.4575256013
636000.0,635964.4575256013
875000.0,635964.4575256013
717000.0,635964.4575256013
497000.0,635964.4575256013
463000.0,635964.4575256013
663000.0,635964.4575256013
592000.0,635964.4575256013
730000.0,635964.4575256013
734000.0,635964.4575256013
472000.0,639642.203406635
609000.0,635964.4575256013
577000.0,635964.4575256013
401000.0,635964.4575256013
517000.0,635964.4575256013
706000.0,635964.4575256013
951000.0,635964.4575256013
622000.0,635964.4575256013
551000.0,639642.203406635
1510000.0,1770707.2824237116
483000.0,744884.5595114281
1913000.0,1562115.9237561072
2915000.0,2916119.208032403
2378000.0,1646304.5054250113
2210000.0,1694417.0577447456
893000.0,764438.9822724303
672000.0,639642.203406635
522000.0,759330.6500136157
1826000.0,2022735.5633523823
567000.0,639642.203406635
1561000.0,1516527.8256795346
3313000.0,2646766.055640614
701000.0,645720.9760459507
1935000.0,848345.9001200848
1495000.0,885212.524051271
1045000.0,1130811.0512779045
1659000.0,1562764.8243121447
995000.0,807443.20233335
1102000.0,1555519.387352659
567000.0,759330.6500136157
561000.0,759330.6500136157
608000.0,759330.6500136157
535000.0,759330.6500136157
1688000.0,2056821.648988159
1622000.0,1562764.8243121447
540000.0,728207.283107966
1651000.0,1608164.5955970236
2698000.0,2049986.563718617
1278000.0,1895859.3675711602
3058000.0,2403278.190529043
1153000.0,1516527.8256795346
3454000.0,2194859.3471244033
486000.0,728207.283107966
917000.0,915686.0417305076
2318000.0,1562115.9237561072
2395000.0,915470.9851905287
711000.0,837099.9717315368
570000.0,635964.4575256013
410000.0,728207.283107966
1878000.0,1528027.0527293792
3083000.0,3039135.941816678
1687000.0,2053800.9820221923
2216000.0,2763433.741394514
1495000.0,1895859.3675711602
440000.0,728207.283107966
319000.0,849006.5291324105
